X,Y,Full Name,City,State,Zip Code,County,Manually adjusted?
-81.9498042,28.0394654,"Lakeland, FL",Lakeland,FL,33801,POLK,0
-81.7948103,26.1420358,"Naples, FL",Naples,FL,34101,COLLIER,0
-81.3124341,29.9012437,"Saint Augustine, FL",St. Augustine,FL,32080,SAINT JOHNS,1
-81.5471201,30.0820653,"Saint Johns, FL",St. Johns,FL,32259,SAINT JOHNS,1
-82.6402915,27.7676008,"Saint Petersburg, FL",St. Petersburg,FL,33701,PINELLAS,1
-82.0105148,33.4734978,"Augusta, GA",Augusta,GA,30901,RICHMOND,0
-84.8413056,33.9244531,"Dallas, GA",Dallas,GA,30132,PAULDING,0
-84.9191081,33.732052,"Villa Rica, GA",Villa Rica,GA,30180,CARROLL,0
-158.0000565,21.4389123,"Oahu, HI",Oahu,HI,96801,HONOLULU,1
-157.835698,21.285002,"Waikiki, HI",Waikiki,HI,96815,HONOLULU,1
-111.9666355,43.4696366,"Ammon, ID",Ammon,ID,83406,BONNEVILLE,1
-116.2023137,43.6150186,"Boise, ID",Boise,ID,83701,ADA,0
-116.6873596,43.6629384,"Caldwell, ID",Caldwell,ID,83605,CANYON,0
-116.3540138,43.6954424,"Eagle, ID",Eagle,ID,83616,ADA,0
-116.4993012,43.8734978,"Emmett, ID",Emmett,ID,83617,GEM,0
-116.9165461,44.0076639,"Fruitland, ID",Fruitland,ID,83619,PAYETTE,0
-112.0407584,43.4926607,"Idaho Falls, ID",Idaho Falls,ID,83401,BONNEVILLE,0
-117.001189,46.4004089,"Lewiston, ID",Lewiston,ID,83501,NEZ PERCE,0
-116.3915131,43.6121087,"Meridian, ID",Meridian,ID,83642,ADA,0
-116.55978,43.5788175,"Nampa, ID",Nampa,ID,83651,CANYON,0
-116.9515856,47.7179578,"Post Falls, ID",Post Falls,ID,83854,KOOTENAI,0
-111.6046687,42.6543652,"Soda Springs, ID",Soda Springs,ID,83276,CARIBOU,0
-114.4700518,42.5558381,"Twin Falls, ID",Twin Falls,ID,83301,TWIN FALLS,0
-87.6297982,41.8781136,"Chicago, IL",Chicago,IL,60655,COOK,1
-90.1487199,38.7014389,"Granite City, IL",Granite City,IL,62040,MADISON,0
-86.158068,39.768403,"Indianapolis, IN",Indianapolis,IN,46201,MARION,0
